app_id,game_name,genre
440,Team Fortress 2,Action Free to Play
730,Counter-Strike: Global Offensive,Action Free to Play
578080,PLAYERUNKNOWN'S BATTLEGROUNDS,Action Adventure
304930,Unturned,Action Adventure
550,Left 4 Dead 2,Action
218620,PAYDAY 2,Action RPG
4000,Garry's Mod,Indie Simulation
230410,Warframe,Action Free to Play
240,Counter-Strike: Source,Action
444090,Paladins,Action Free to Play
72850,The Elder Scrolls V: Skyrim,RPG
105600,Terraria,Action Adventure
620,Portal 2,Action Adventure
8930,Sid Meier's Civilization V,Strategy
271590,Grand Theft Auto V,Action Adventure
49520,Borderlands 2,Action RPG
301520,Robocraft,Action Free to Play
400,Portal,Action
236390,War Thunder,Action Free to Play
346110,ARK: Survival Evolved,Action Adventure
220,Half-Life 2,Action
219640,Chivalry: Medieval Warfare,Action Indie
304050,Trove,Action Adventure
1250,Killing Floor,Action
113200,The Binding of Isaac,Action Adventure
630,Alien Swarm,Action
291480,Warface,Action Free to Play
107410,Arma 3,Action Simulation
255710,Cities: Skylines,Simulation Strategy
227300,Euro Truck Simulator 2,Indie Simulation
221380,Age of Empires II (2013),Strategy
333930,Dirty Bomb,Action Free to Play
386360,SMITE,Action Free to Play
204360,Castle Crashers,Action Adventure
203160,Tomb Raider,Action Adventure
431960,Wallpaper Engine,Animation & Modeling Design & Illustration
206420,Saints Row IV,Action Adventure
99900,Spiral Knights,Action Adventure
208090,Loadout,Action Free to Play
273110,Counter-Strike Nexon: Zombies,Action Casual
55230,Saints Row: The Third,Action
42910,Magicka,Action RPG
24240,PAYDAY The Heist,Action
273350,Evolve Stage 2,Action Free to Play
231430,Company of Heroes 2,Strategy
20920,The Witcher 2: Assassins of Kings Enhanced Edition,RPG
8870,BioShock Infinite,Action
241930,Middle-earth: Shadow of Mordor,
300,Day of Defeat: Source,Action
363970,Clicker Heroes,Adventure Casual
211820,Starbound,Action Adventure
48700,Mount & Blade: Warband,Action RPG
244850,Space Engineers,Action Indie
91310,Dead Island,Action RPG
316010,Magic Duels,Free to Play Strategy
8980,Borderlands Game of the Year,Action RPG
319630,Life is Strange - Episode 1,Action Adventure
232090,Killing Floor 2,Action
380,Half-Life 2: Episode One,Action
346900,AdVenture Capitalist,Casual Free to Play
200210,Realm of the Mad God,Action Free to Play
289070,Sid Meier’s Civilization VI,Strategy
391540,Undertale,Indie RPG
295110,Just Survive,Action Adventure
10500,Total War: EMPIRE – Definitive Edition,Strategy
588430,Fallout Shelter,Free to Play RPG
374320,DARK SOULS III,Action
211420,DARK SOULS: Prepare To Die Edition,Action RPG
48000,LIMBO,Adventure Indie
203770,Crusader Kings II,RPG Simulation
311210,Call of Duty: Black Ops III,Action Adventure
202970,Call of Duty: Black Ops II,Action
265630,Fistful of Frags,Action Free to Play
40800,Super Meat Boy,Indie
264710,Subnautica,Adventure Indie
24200,DC Universe Online,Action Adventure
207610,The Walking Dead,Adventure
238320,Outlast,Action Adventure
35720,Trine 2: Complete Story,Action Adventure
207140,SpeedRunners,Action Casual
236110,Dungeon Defenders II,Action Free to Play
57300,Amnesia: The Dark Descent,Action Adventure
65980,Sid Meier's Civilization: Beyond Earth,Strategy
210770,Sanctum 2,Action Indie
107100,Bastion,Action Indie
213670,South Park: The Stick of Truth,Action Adventure
391220,Rise of the Tomb Raider,Action Adventure
65800,Dungeon Defenders,Action Indie
299360,Block N Load,Action Free to Play
255520,Viscera Cleanup Detail: Shadow Warrior,Gore Indie
262410,World of Guns: Gun Disassembly,Free to Play Indie
225540,Just Cause 3,Action Adventure
50130,Mafia II,Action
216250,Dead Island Riptide,Action RPG
407530,ARK: Survival Of The Fittest,Action Adventure
431240,Golf With Your Friends,Casual Indie
268500,XCOM 2,Strategy
34030,Total War: NAPOLEON – Definitive Edition,Strategy
113020,Monaco: What's Yours Is Mine,Action Adventure
242920,Banished,Indie Simulation
91600,Sanctum,Action Casual
335240,Transformice,Free to Play Indie
355180,Codename CURE,Action Free to Play
41070,Serious Sam 3: BFE,Action Indie
674940,Stick Fight: The Game,Action Casual
246620,Plague Inc: Evolved,Casual Indie
4920,Natural Selection 2,Action Indie
281990,Stellaris,Simulation Strategy
214420,Gear Up,Action Free to Play
242720,GunZ 2: The Second Duel,Action Free to Play
233720,Surgeon Simulator,Action Indie
274190,Broforce,Action Adventure
436520,Line of Sight,Action Free to Play
209000,Batman: Arkham Origins,Action Adventure
248820,Risk of Rain,Action Indie
203290,America's Army: Proving Grounds,Action Free to Play
201810,Wolfenstein: The New Order,Action
108710,Alan Wake,Action Adventure
234140,Mad Max,Action Adventure
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,Action Adventure
268910,Cuphead,Action Indie
386180,Crossout,Action Free to Play
427520,Factorio,Casual Indie
239820,Game Dev Tycoon,Casual Indie
285900,Gang Beasts,Action Adventure
435150,Divinity: Original Sin 2 - Definitive Edition,Adventure RPG
493340,Planet Coaster,Simulation Strategy
3590,Plants vs. Zombies GOTY Edition,Strategy
245170,Skullgirls,Action Indie
242050,Assassin’s Creed IV Black Flag,Action Adventure
393380,Squad,Action Indie
12900,AudioSurf,Indie
214560,Mark of the Ninja,Action Adventure
208140,Endless Space - Collection,Strategy
326460,ShellShock Live,Action Casual
289130,Endless Legend,RPG Strategy
34270,SEGA Mega Drive and Genesis Classics,Action Adventure
269210,Hero Siege,Action Adventure
44350,GRID 2,Racing Sports
310380,Fractured Space,Action Adventure
241600,Rogue Legacy,Action Adventure
601510,Yu-Gi-Oh! Duel Links,Free to Play Strategy
307780,Mortal Kombat X,Action
282440,Quake Live,Action
209160,Call of Duty: Ghosts,Action
444640,Bloons TD Battles,Action Free to Play
275850,No Man's Sky,Action Adventure
266840,Age of Mythology: Extended Edition,Simulation Strategy
394360,Hearts of Iron IV,Simulation Strategy
237930,Transistor,Action Indie
322170,Geometry Dash,Action Indie
239160,Thief,Action Adventure
427730,Who's Your Daddy,Action Casual
218680,Scribblenauts Unlimited,Adventure Casual
409710,BioShock Remastered,Action RPG
20570,"Warhammer 40,000: Dawn of War II Chaos Rising",Strategy
224760,FEZ,Indie
236430,DARK SOULS II,Action RPG
225260,Brutal Legend,Action Adventure
48720,Mount & Blade: With Fire & Sword,Action RPG
10680,Aliens vs. Predator,Action
270550,Yet Another Zombie Defense,Action Casual
3830,Psychonauts,Action
657200,Hand Simulator,Simulation
312530,Duck Game,Action Indie
524220,NieR:Automata,Action RPG
424280,Iron Snout,Action Free to Play
242860,Verdun,Action Indie
67370,The Darkness II,Action
311690,Enter the Gungeon,Action Adventure
236370,Interstellar Marines,Action Indie
403640,Dishonored 2,Action
299740,Miscreated,Action Adventure
646570,Slay the Spire,Indie Strategy
427270,Orcs Must Die! Unchained,Action Free to Play
42120,Lead and Gold: Gangs of the Wild West,Action
236450,PAC-MAN Championship Edition DX+,Action
55150,"Warhammer 40,000: Space Marine",Action
21100,F.E.A.R. 3,Action
34870,Sniper: Ghost Warrior 2,Action
241540,State of Decay,Action RPG
17570,"Pirates, Vikings, and Knights II",Action Free to Play
310560,DiRT Rally,Racing Simulation
98200,Frozen Synapse,Indie Strategy
225080,Brothers - A Tale of Two Sons,Action Adventure
261030,The Walking Dead: Season Two,Adventure
447820,Day of Infamy,Action Indie
40100,Supreme Commander 2,Strategy
221640,Super Hexagon,Action Indie
475150,Titan Quest Anniversary Edition,Action RPG
274170,Hotline Miami 2: Wrong Number,Action Indie
582160,Assassin's Creed Origins,Action Adventure
41000,Serious Sam HD: The First Encounter,Action Indie
323580,Jotun: Valhalla Edition,Action Adventure
552990,World of Warships,Action Free to Play
250320,The Wolf Among Us,Adventure
21690,Resident Evil 5/ Biohazard 5,Action Adventure
367520,Hollow Knight,Action Adventure
249130,LEGO Marvel Super Heroes,Action Adventure
22000,World of Goo,Indie
234630,Project CARS,Racing Simulation
394510,HELLDIVERS A New Hell Edition,Action
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,Action Adventure
102500,Kingdoms of Amalur: Reckoning,Action RPG
239070,Hammerwatch,Action Adventure
624090,Football Manager 2018,Simulation Sports
418460,Rising Storm 2: Vietnam,Action Massively Multiplayer
356190,Middle-earth: Shadow of War,Action Adventure
213850,Magic 2014 — Duels of the Planeswalkers,Strategy
296470,Mount Your Friends,Indie Simulation
250420,8BitMMO,Action Adventure
513650,Zula Europe,Action Free to Play
257510,The Talos Principle,Action Adventure
313160,Farming Simulator 15,Simulation
239350,Spelunky,Indie
13210,Unreal Tournament 3 Black,Action
476600,Call of Duty: WWII,Action
57900,Duke Nukem Forever,Action
382490,Relic Hunters Zero,Action Free to Play
365450,Hacknet,Indie Simulation
292730,Call of Duty: Infinite Warfare,Action Adventure
578310,BRAIN / OUT,Action Free to Play
238370,Magicka 2,Action Adventure
339800,HuniePop,Indie RPG
1200,Red Orchestra: Ostfront 41-45,Action
437220,The Culling,Action Free to Play
434570,Blood and Bacon,Action Adventure
209670,Cortex Command,Action Indie
341800,Keep Talking and Nobody Explodes,Indie
232890,Stronghold Crusader 2,Simulation Strategy
244210,Assetto Corsa,Indie Racing
518790,theHunter: Call of the Wild,Adventure Simulation
648800,Raft,Adventure Indie
367450,Poly Bridge,Indie Simulation
447020,Farming Simulator 17,Simulation
18820,Zero Gear,Action Indie
466560,Northgard,Indie Simulation
55110,Red Faction: Armageddon,Action
666220,CS2D,Action Casual
386940,Ultimate Chicken Horse,Action Casual
91700,E.Y.E: Divine Cybermancy,Action Indie
387290,Ori and the Blind Forest: Definitive Edition,Action
70300,VVVVVV,Action Indie
644930,They Are Billions,Strategy
107200,Space Pirates and Zombies,Action Indie
72200,Universe Sandbox Legacy,Casual Indie
237990,The Banner Saga,Indie RPG
214340,Deponia,Adventure Indie
304650,SUNLESS SEA,Adventure Indie
215470,Primal Carnage,Action Indie
244160,Homeworld Remastered Collection,Simulation Strategy
622650,Bendy and the Ink Machine,Action Indie
312660,Sniper Elite 4,Action Adventure
261180,Lethal League,Action Indie
1520,DEFCON,Indie Strategy
402570,Atlas Reactor,Free to Play Strategy
254700,resident evil 4 / biohazard 4,Action Adventure
7520,Two Worlds II HD,RPG
246900,Viscera Cleanup Detail,Indie Simulation
22490,Fallout: New Vegas,Action RPG
293260,Card Hunter,Free to Play RPG
285190,"Warhammer 40,000: Dawn of War III",Action Simulation
350280,LawBreakers,Action
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,Action Adventure
346120,Boring Man - Online Tactical Stickman Combat,Action Free to Play
265590,The Red Solstice,Action RPG
390670,Steel Ocean,Free to Play Massively Multiplayer
287290,Resident Evil Revelations 2 / Biohazard Revelations 2,Action Adventure
250180,METAL SLUG 3,Action
63710,BIT.TRIP RUNNER,Action Indie
17710,Nuclear Dawn,Action Strategy
22230,Rock of Ages,Action Indie
438740,Friday the 13th: The Game,Action
240760,Wasteland 2: Director's Cut,Adventure Indie
365300,Transmissions: Element 120,Action Free to Play
58610,Wargame: European Escalation,Strategy
253030,Race The Sun,Action Indie
225600,Blade Symphony,Action Indie
208200,Doom 3: BFG Edition,Action
299460,Woodle Tree Adventures,Action Adventure
247000,Talisman: Digital Edition,Indie RPG
350080,Wolfenstein: The Old Blood,Action
330840,Game of Thrones - A Telltale Games Series,Adventure
462780,Darksiders Warmastered Edition,Action Adventure
232050,Eador. Masters of the Broken World,Indie RPG
723780,Modern Combat Versus,Action Adventure
330830,Tales from the Borderlands,Adventure
220260,Farming Simulator 2013 Titanium Edition,Casual Simulation
274920,FaceRig,Animation & Modeling Video Production
228300,Remember Me,Action Adventure
236150,Starpoint Gemini 2,Action RPG
250760,Shovel Knight: Treasure Trove,Action Adventure
288470,Fable Anniversary,RPG
220780,Thomas Was Alone,Indie
224480,Octodad: Dadliest Catch,Action Adventure
368360,60 Seconds!,Adventure Casual
384190,ABZU,Action Adventure
324810,TOXIKK,Action Free to Play
334210,Fortified,Action Indie
290340,Armello,Adventure Indie
569480,Kingdoms and Castles,Indie Simulation
318600,The Flame in the Flood,Action Adventure
18500,Defense Grid: The Awakening,Indie Strategy
265210,Viscera Cleanup Detail: Santa's Rampage,Indie Simulation
98800,Dungeons of Dredmor,Casual Indie
239660,Soldier Front 2,Action Free to Play
612880,Wolfenstein II: The New Colossus,Action
287980,Mini Metro,Indie Simulation
420290,Blackwake,Action Casual
394310,Punch Club,Indie RPG
232430,Gone Home,Adventure Indie
577800,NBA 2K18,Simulation Sports
301910,Saints Row: Gat out of Hell,Action
454650,DRAGON BALL XENOVERSE 2,Action Adventure
290080,Life is Feudal: Your Own,Action Indie
495910,Dungeon Fighter Online,Action Adventure
286100,You Have to Win the Game,Action Indie
263980,Out There Somewhere,Action Adventure
316790,Grim Fandango Remastered,Adventure
233290,Murdered: Soul Suspect,Action Adventure
496300,Kingdom: New Lands,Indie Simulation
222480,Resident Evil Revelations / Biohazard Revelations,Action Adventure
385760,NBA 2K17,Sports
263060,Blockstorm,Action Indie
564710,Soda Dungeon,Casual Free to Play
474750,Reigns,Adventure Indie
242680,Nuclear Throne,Action Indie
645630,Car Mechanic Simulator 2018,Racing Simulation
285920,TerraTech,Action Indie
641990,The Escapists 2,Indie Simulation
70600,Worms Ultimate Mayhem,Strategy
242640,Styx: Master of Shadows,Action
231160,The Swapper,Action Adventure
2820,X3: Terran Conflict,Action Simulation
648350,Jurassic World Evolution,Simulation Strategy
34900,Bad Rats: the Rats' Revenge,Indie
370240,NBA 2K16,Sports
270150,RUNNING WITH RIFLES,Action Indie
351030,Pixel Puzzles Ultimate,Casual Free to Play
49540,Aliens: Colonial Marines Collection,Action
446150,GUNS UP!,Action Casual
234390,Teleglitch: Die More Edition,Action Indie
97330,Magic: The Gathering - Duels of the Planeswalkers 2013,Strategy
225420,Cities in Motion 2,Simulation Strategy
28000,Kane & Lynch 2: Dog Days,Action
95400,ibb & obb,Action Adventure
678950,DRAGON BALL FighterZ,Action
553640,ICEY,Action Adventure
485610,Ball 3D: Racing Soccer & Sports Games,Action Free to Play
